ID,Name,Company,Category,Subcategory,Input Type,Output Type,Task Description,Cost,Ease of Use,Integration,Languages,Rating,Popularity,Accuracy ,Speed ,Training Domain,Link,Unnamed: 18
181.0,meshy,meshy,image,"text-to-3d, image-to-3d, 3d texture generation","text, image",3d model,A platform that uses generative AI to create 3D assets from text prompts or 2D images.,free,2.0,"web, api",english,0.8800000000000001,0.5,80%,Medium,"3d models, textures",https://www.meshy.ai/,unknown
182.0,soundful,soundful,audio,"music generation, mood-based composition","text (genre, mood)",audio,"An AI music platform for creating royalty-free, studio-quality tracks for videos, streams, and podcasts.",free,1.0,"web, api",english,0.9,0.5,unknown,Fast,"music theory, licensed music",https://soundful.com/,unknown
183.0,clay,clay,automation,"relationship management, contact organization","email, calendar data",text (organized data),"An AI-powered tool that automatically builds a unified contact list from email, calendar, and social media.",unknown,1.0,"web, mobile app",english,0.96,0.5,95%,Fast,"contact data, public profiles",https://clay.earth/,unknown
184.0,cohere,cohere,text,"llm, text generation, semantic search, rag","text, dataset","text, predictions",An AI platform providing enterprise-focused large language models for search and content generation.,unknown,3.0,"api, sdk",multilingual,0.9400000000000001,0.5,90-95%,Fast,web & enterprise data,https://cohere.com/,unknown
185.0,scispace,scispace,text,"research assistance, literature review, paper summarization","text, pdf",text,"An AI platform designed to help researchers read, understand, and discover academic papers efficiently.",free,2.0,"web, plugin",english,0.9199999999999999,0.5,88%,Fast,academic papers,https://typeset.io/,unknown
186.0,guidde,guidde,automation,"process documentation, video tutorial generation",user actions,"video, text",An AI platform that creates video documentation and how-to guides by capturing workflows automatically.,free,1.0,plugin,english,0.9800000000000001,0.5,98%,Fast,user interface actions,https://www.guidde.com/,unknown
187.0,poe,quora,text,"chatbot aggregation, multi-model access",text,text,"A platform to ask questions, get instant answers, and have back-and-forth conversations with a variety of AI chatbots.",free,1.0,"web, mobile app",multilingual,0.9400000000000001,0.5,90%,Fast,varies by model,https://poe.com/,unknown
188.0,andi,andi,text,"conversational search, q&a, content summarization",text,text,A search chatbot that uses generative AI to provide direct answers and summaries instead of just links.,free,1.0,web,english,0.9,0.5,88%,Fast,web data,https://andisearch.com/,unknown
189.0,you.com,you.com,text,"conversational search, code generation, text generation",text,"text, code",An AI-powered search engine that provides a customizable search experience and integrates apps.,free,1.0,"web, api",multilingual,0.9199999999999999,0.5,85%,Fast,"web data, code",https://you.com/,unknown
190.0,blackbox ai,blackbox,code,"code generation, code search, code explanation","text, image, code",code,An AI coding assistant that helps developers find code snippets and generate code from questions.,free,3.0,"web, plugin",multilingual,0.8800000000000001,0.5,80%,Fast,public code repositories,https://www.blackbox.ai/,unknown
191.0,feedly leo,feedly,automation,"article summarization, topic tracking, threat intelligence",text (rss feeds),text,"An AI research assistant integrated into Feedly that reads, analyzes, and prioritizes articles in your feeds.",unknown,2.0,"web, api",english,0.9400000000000001,0.5,92%,Fast,"news, articles, reports",https://feedly.com/i/leo/,unknown
192.0,harvey ai,harvey,automation,"legal research, document analysis, contract drafting","text, legal docs",text,"An AI platform designed for law firms to automate legal tasks like research, analysis, and drafting.",unknown,4.0,web,english,0.9199999999999999,0.5,95%,Medium,"legal case law, statutes",https://www.harvey.ai/,unknown
193.0,gong,gong,automation,"sales intelligence, conversation analysis, revenue forecasting",audio (sales calls),"text, analytics",A revenue intelligence platform that uses AI to analyze customer-facing conversations and provide insights.,unknown,4.0,"web, api, crm",multilingual,0.9400000000000001,0.5,94%,Medium,sales conversations,https://www.gong.io/,unknown
194.0,eightfold ai,eightfold,automation,"talent acquisition, hr management, skill assessment",text (resumes),"text, analytics","A ""Talent Intelligence Platform"" that uses a single AI model to manage the entire talent lifecycle.",unknown,4.0,"web, api",multilingual,0.9199999999999999,0.5,90%,Medium,"hr data, resumes",https://eightfold.ai/,unknown
195.0,abridge,abridge,automation,"medical scribing, clinical documentation, note taking",audio (conversations),text,An AI platform that structures and summarizes medical conversations to automate clinical documentation for doctors.,unknown,4.0,"web, mobile app",english,0.96,0.5,98%,Fast,medical conversations,https://www.abridge.com/,unknown
196.0,covariant,covariant,automation,"robotics, warehouse automation, object manipulation",video (camera feed),robotic actions,"An AI robotics company that builds a universal AI platform to enable robots to see, reason, and act.",unknown,4.0,hardware sdk,nan,0.9199999999999999,0.5,99%,Fast,physical object interaction,https://covariant.ai/,unknown
197.0,assemblyai,assemblyai,audio,"speech-to-text, audio summarization, speaker diarization","audio, video",text,An API platform for speech-to-text transcription and understanding of audio and video data.,unknown,3.0,"api, sdk",multilingual,0.96,0.5,95-97%,Fast,audio & speech data,https://www.assemblyai.com/,unknown
198.0,alphasense,alphasense,data,"market research, financial analysis, document search",text (documents),"text, analytics",An AI-powered market intelligence platform for searching and analyzing corporate and financial documents.,unknown,4.0,"web, api",english,0.9400000000000001,0.5,93%,Fast,"financial docs, sec filings",https://www.alpha-sense.com/,unknown
199.0,paige,paige,data,"cancer diagnosis, pathology, clinical trials",image (biopsy scans),text (diagnosis),An AI-powered pathology platform that helps doctors diagnose cancer faster and more accurately.,unknown,4.0,web,english,0.9199999999999999,0.5,99%,Medium,digital pathology scans,https://paige.ai/,unknown
200.0,abacus.ai,abacus.ai,data,"mlops, model training, real-time ml, llm ops",dataset,"predictions, models",An end-to-end AI platform for building real-time machine learning and deep learning systems.,unknown,3.0,"api, sdk",python,0.9,0.5,Varies,Medium,enterprise & tabular data,https://abacus.ai/,unknown
201.0,civitai,civitai,image,"model sharing, image generation, style loras","text, image",image,"A hub for sharing and discovering open-source AI art models, particularly for Stable Diffusion.",free,2.0,web,nan,0.9199999999999999,0.5,Varies,Medium,ai art models,https://civitai.com/,unknown
202.0,vercel v0,vercel,code,"ui generation, frontend development, component creation","text, image",code (react),An AI tool that generates React user interfaces from text prompts and existing open-source components.,free,3.0,web,english,0.96,0.5,85%,Fast,ui/ux components,https://v0.dev/,unknown
203.0,decktopus,decktopus,automation,"presentation generation, slide design",text,presentation,An AI-powered presentation maker that creates entire slide decks from a single prompt.,unknown,1.0,web,multilingual,0.9400000000000001,0.5,80%,Fast,presentation content,https://www.decktopus.com/,unknown
204.0,character.ai,character.ai,text,"conversational ai, role-playing, chatbot creation",text,text,A neural language model chatbot service that can generate human-like text responses and participate in contextual conversation.,free,1.0,"web, mobile app",english,0.9,0.5,unknown,Fast,general conversation,[suspicious link removed],unknown
205.0,neeva,neeva,text,"ad-free search, q&a, personal file search",text,text,"(Now part of Snowflake) An ad-free, private search engine that used AI to provide personalized results from the web and personal files.",unknown,1.0,web,english,0.9199999999999999,0.5,85%,Fast,web & personal data,https://neeva.com/,unknown
206.0,casetext cocounsel,thomson reuters,automation,"legal research, document review, deposition prep",text (legal docs),text,"An AI legal assistant for lawyers to perform tasks like legal research, document review, and brief drafting.",unknown,4.0,web,english,0.9800000000000001,0.5,96%,Medium,"legal documents, case law",https://casetext.com/cocounsel/,unknown
207.0,wordtune,ai21 labs,text,"paraphrasing, tone adjustment, text shortening/expansion",text,text,"An AI writing companion that helps rephrase and improve the clarity, tone, and flow of your writing.",free,1.0,"web, plugin",english,0.9400000000000001,0.5,92%,Fast,"general text, literature",https://www.wordtune.com/,unknown
208.0,riffusion,riffusion,audio,"music generation, text-to-audio, style mimicking","text, audio",audio,An AI model for real-time music generation from text prompts by visualizing audio spectrograms.,free,2.0,web,english,0.9,0.5,unknown,Fast,"music, spectrograms",https://www.riffusion.com/,unknown
209.0,d-id,d-id,video,"avatar generation, text-to-video, image animation","text, image, audio",video,A platform that generates videos of photorealistic talking avatars from a single image and text or audio.,free,1.0,"web, api",multilingual,0.9199999999999999,0.5,88%,Medium,"human faces, animation",https://www.d-id.com/,unknown
210.0,novelai,anlatan,text,"story generation, ai dungeon master, text adventure",text,"text, image","An AI-assisted subscription service for authorship, storytelling, and virtual companionship.",unknown,2.0,web,english,0.8800000000000001,0.5,unknown,Fast,"literature, fiction",https://novelai.net/,unknown
211.0,let's enhance,let's enhance,image,"image upscaling, artifact removal, color correction",image,image,An AI-powered image enhancer and upscaler for improving photo quality without losing detail.,free,1.0,"web, api",nan,0.9400000000000001,0.5,95%,Medium,"photography, digital art",https://letsenhance.io/,unknown
212.0,sudowrite,sudowrite,text,"creative writing, story pacing, character generation",text,text,An AI writing partner specifically designed for fiction authors to help brainstorm and rewrite prose.,unknown,2.0,web,english,0.96,0.5,unknown,Fast,"fiction, novels",https://www.sudowrite.com/,unknown
213.0,lex,every,text,"ai-powered writing, content collaboration, idea generation",text,text,An AI-powered word processor designed for writers to overcome writer's block and improve their work.,free,1.0,web,english,0.9199999999999999,0.5,85%,Fast,general writing,https://lex.page/,unknown
214.0,bito,bito,code,"code generation, test case creation, code explanation","code, text","code, text",An AI coding assistant that lives in the IDE to help developers automate tedious coding tasks.,free,3.0,plugin,multilingual,0.96,0.5,88%,Fast,public code repositories,https://bito.ai/,unknown
215.0,bardeen,bardeen,automation,"no-code automation, web scraping, workflow management",user actions,automated tasks,A no-code AI tool that automates manual workflows and repetitive tasks in your browser.,free,1.0,plugin,english,0.9800000000000001,0.5,97%,Fast,web automation,https://www.bardeen.ai/,unknown
216.0,lobe.ai,microsoft,data,"model training, image classification, object detection","image, dataset",ml model,"A free, easy-to-use desktop application for creating custom machine learning models without code.",free,1.0,desktop app,nan,0.9400000000000001,0.5,Varies,Slow,custom image datasets,https://www.lobe.ai/,unknown
217.0,scale ai,scale ai,data,"data annotation, data labeling, dataset generation",raw data,labeled data,A data platform for AI that provides high-quality training data for machine learning teams.,unknown,4.0,"web, api",multilingual,0.9199999999999999,0.5,98%,Medium,"vision, nlp, audio data",https://scale.com/,unknown
218.0,weights & biases,weights & biases,data,"mlops, experiment tracking, model visualization","code, logs",analytics,"An MLOps platform for developers to track experiments, version datasets, and manage models.",free,3.0,"api, sdk",python,0.9800000000000001,0.5,unknown,Fast,machine learning models,https://wandb.ai/,unknown
219.0,voicemod,voicemod,audio,"voice changing, soundboard, audio effects",audio,audio,A real-time AI voice changer and soundboard that lets you modify your voice for gaming and streaming.,free,1.0,desktop app,multilingual,0.9,0.5,unknown,Fast,human voice,https://www.voicemod.net/,unknown
220.0,deepmotion,deepmotion,video,"motion capture, 3d animation, pose estimation",video,3d animation,"An AI-powered animation tool that generates 3D animations from video files, replacing motion capture.",free,2.0,web,english,0.8800000000000001,0.5,90%,Medium,human motion,https://www.deepmotion.com/,unknown
221.0,retool,retool,automation,"internal tool building, low-code development, ai actions","data, api",web app,"A low-code platform for building internal tools, with integrated AI features for data analysis and actions.",unknown,3.0,"web, api, sdk",english,0.9400000000000001,0.5,95%,Fast,"business logic, ui",https://retool.com/,unknown
222.0,boomy,boomy,audio,"song generation, instrumental creation",text (genre),audio,An AI-powered music maker that generates original songs with vocals and instruments in seconds.,free,1.0,web,english,0.8400000000000001,0.5,unknown,Fast,"pop, electronic music",https://boomy.com/,unknown
223.0,deep art effects,deep art effects,image,"style transfer, image-to-art",image,image,An AI-based tool that uses artistic style transfer to turn photos into paintings in the style of famous artists.,free,1.0,"web, mobile app",multilingual,0.86,0.5,90%,Slow,"art history, paintings",https://www.deeparteffects.com/,unknown
224.0,colossyan,colossyan,video,"text-to-video, ai presenter, corporate training videos","text, powerpoint",video,An AI video generator for creating workplace training and communication videos with AI avatars.,unknown,1.0,web,multilingual,0.9400000000000001,0.5,85%,Medium,corporate communication,https://www.colossyan.com/,unknown
225.0,gradio,hugging face,code,"ui for models, demo building, machine learning apps",code (python),web app,An open-source Python library to build and share demos for machine learning models with a simple UI.,open-source,3.0,library (python),python,0.9800000000000001,0.5,unknown,Fast,machine learning models,https://www.gradio.app/,unknown
226.0,crayon,crayon,data,"competitive intelligence, market research, trend analysis",web data,analytics,An AI-powered competitive intelligence platform that tracks competitors and market trends automatically.,unknown,4.0,web,english,0.9199999999999999,0.5,92%,Fast,"web data, marketing",https://www.crayon.co/,unknown
227.0,plandex,plandex,code,"software development, task automation, debugging",text (natural language),"code, shell commands","An open-source AI-powered software engineering assistant that handles complex, multi-file tasks.",open-source,3.0,cli,english,0.96,0.5,90%,Medium,"public code, engineering docs",https://github.com/plandex-ai/plandex,unknown
228.0,coderabbit,coderabbit,code,"code review, bug detection, refactoring suggestions",code (pull request),text (review comments),An AI-powered code reviewer that provides line-by-line suggestions to improve code quality.,free,3.0,"plugin (github, gitlab)",multilingual,0.9800000000000001,0.5,92%,Fast,code repositories,https://coderabbit.ai/,unknown
229.0,kommunicate,kommunicate,automation,"chatbot builder, customer support, live chat",text,text,A no-code chatbot platform for automating customer support with live chat and AI integration.,free,1.0,"api, sdk, web",multilingual,0.9199999999999999,0.5,88%,Fast,customer support data,https://www.kommunicate.io/,unknown
230.0,forethought,forethought,automation,"customer support, ticket triage, agent assistance",text (support tickets),"text, analytics","An AI platform for customer service automation that helps resolve, triage, and assist with support tickets.",unknown,4.0,"web, api, crm",multilingual,0.9400000000000001,0.5,94%,Fast,enterprise support data,https://forethought.ai/,unknown
231.0,rose & will,rose & will,image,"fashion design, product photography, virtual models","text, image",image,An AI image generation suite specifically trained for fashion and e-commerce product imagery.,unknown,2.0,web,english,0.9,0.5,90%,Medium,"fashion, e-commerce",https://www.roseandwill.com/,unknown
232.0,jukebox,openai,audio,"music generation, raw audio synthesis, song creation","text (genre, artist)",audio,"An open-source neural net that generates music, including rudimentary singing, as raw audio.",open-source,3.0,code,english,0.86,0.5,unknown,Slow,"music, raw audio",https://openai.com/research/jukebox,unknown
233.0,syntroc,syntroc,code,"code migration, legacy system modernization",code (legacy),code (modern),An AI platform for automated modernization of legacy codebases to modern programming languages.,unknown,4.0,service,nan,0.9199999999999999,0.5,95-98%,Slow,legacy & modern code,https://www.syntroc.com/,unknown
234.0,skaffolder,skaffolder,code,"code generation, api creation, database scaffolding",text (specs),code,A low-code platform that generates full-stack code and APIs from a visual interface or template.,unknown,3.0,"web, cli",multilingual,0.8800000000000001,0.5,90%,Fast,software architecture,https://skaffolder.com/,unknown
235.0,polyai,polyai,audio,"voice assistants, conversational ivr, customer service","audio, text","audio, text","A platform for creating enterprise-grade, human-like voice assistants for customer service.",unknown,4.0,"api, sdk",multilingual,0.96,0.5,96%,Fast,customer conversations,https://poly.ai/,unknown
236.0,adcreative.ai,adcreative.ai,image,"ad copy generation, banner creation, marketing assets","text, image","image, text","An AI platform that generates conversion-focused ad creatives, banners, and marketing copy.",unknown,1.0,"web, api",multilingual,0.9400000000000001,0.5,85%,Fast,ad performance data,https://www.adcreative.ai/,unknown
237.0,unreal metahuman,epic games,image,"3d character creation, digital humans, animation","image, 3d scan",3d model,"A cloud-based framework for creating high-fidelity, fully rigged digital humans for games and film.",free,2.0,"desktop app, cloud",english,0.9800000000000001,0.5,99%,Medium,"human anatomy, 3d scans",https://www.unrealengine.com/metahuman,unknown
238.0,databricks assistant,databricks,data,"data analysis, sql generation, notebook assistance","text, data","code (sql, python)","An AI assistant within the Databricks platform that helps write code, analyze data, and fix errors.",unknown,3.0,web,"english, sql, python",0.96,0.5,90%,Fast,"code, data schemas",https://www.databricks.com/product/assistant,unknown
239.0,puzzle,puzzle,data,"business intelligence, financial analysis, metrics tracking",financial data,"analytics, charts",An AI-powered accounting and financial intelligence platform that provides real-time business metrics.,unknown,4.0,web,english,0.9199999999999999,0.5,95%,Fast,financial statements,https://puzzle.io/,unknown
240.0,anyscale,anyscale,data,"distributed computing, model training, ai scaling",code (python),scaled computation,"A fully managed platform for scaling AI and Python workloads, built by the creators of Ray.",unknown,3.0,"api, sdk",python,0.9400000000000001,0.5,unknown,Varies,distributed systems,https://www.anyscale.com/,unknown
241.0,snorkel ai,snorkel ai,data,"data labeling, weak supervision, data curation","unlabeled data, rules",labeled data,A programmatic data development platform for labeling training data using weak supervision.,unknown,4.0,"web, sdk",python,0.9,0.5,90-97%,Medium,unstructured data,https://snorkel.ai/,unknown
242.0,deepl write,deepl,text,"pro writing assistant, paraphrasing, style improvement",text,text,"An AI writing assistant from the makers of DeepL that improves phrasing, style, and grammar.",free,1.0,web,"english, german",0.9800000000000001,0.5,95%,Fast,professional writing,https://www.deepl.com/write,unknown
243.0,magic studio,magic studio,image,"photo editing, object removal, background generation",image,image,A suite of AI-powered photo editing tools for tasks like removing objects or swapping backgrounds.,free,1.0,"web, mobile app",nan,0.9199999999999999,0.5,90%,Fast,general photography,https://magicstudio.com/,unknown
244.0,hitpaw,hitpaw,video,"video enhancement, object removal, watermark removal","video, image","video, image",A suite of AI-powered multimedia tools for enhancing video/photo quality and editing.,unknown,1.0,desktop app,multilingual,0.9,0.5,88%,Medium,video & image data,https://www.hitpaw.com/,unknown
245.0,make-a-video,meta,video,"text-to-video, video generation",text,video,"A research project from Meta AI that generates short, silent video clips from text descriptions.",unknown,0.0,nan,english,0.9199999999999999,0.5,70%,Slow,"video, image datasets",https://make-a-video.github.io/,unknown
246.0,phenaki,google,video,"text-to-video, storytelling, long-form video",text (prompts),video,"A research model for generating minutes-long, coherent videos from a series of text prompts.",unknown,0.0,nan,english,0.9199999999999999,0.5,75%,Slow,"video, text datasets",https://phenaki.video/,unknown
247.0,coqui,coqui,audio,"text-to-speech, voice cloning, generative speech","text, audio",audio,"An open-source, generative AI speech platform for creating realistic, emotive voices.",open-source,3.0,"api, sdk",multilingual,0.9400000000000001,0.5,94%,Fast,speech & voice data,https://coqui.ai/,unknown
248.0,tome app,tome,automation,"presentation generation, storytelling, document creation",text,presentation,"An AI-powered storytelling and presentation format for creating narratives with text, images, and video.",free,1.0,web,multilingual,0.96,0.5,85%,Fast,"presentations, docs",https://tome.app/,unknown
249.0,textio,textio,text,"augmented writing, inclusive language, job postings",text,text with suggestions,An augmented writing platform that helps companies write more inclusive and effective job descriptions.,unknown,4.0,"web, plugin",english,0.9199999999999999,0.5,95%,Fast,"hr, job postings",https://textio.com/,unknown
250.0,uipath,uipath,automation,"robotic process automation (rpa), business automation","user actions, data",automated tasks,A leading enterprise platform for robotic process automation powered by AI and computer vision.,unknown,4.0,"desktop app, api",multilingual,0.9199999999999999,0.5,99%,Varies,business processes,https://www.uipath.com/,unknown
251.0,mostly ai,mostly ai,data,"synthetic data generation, data anonymization",dataset,synthetic dataset,An AI platform for generating synthetic data that preserves statistical properties for privacy-safe analytics.,unknown,4.0,"web, api",nan,0.9,0.5,99%,Medium,tabular & time-series data,https://mostly.ai/,unknown
252.0,dataiku,dataiku,data,"end-to-end data science, mlops, data analytics","dataset, code","models, analytics","An end-to-end platform for the design, deployment, and management of AI and analytics applications.",unknown,4.0,web,multilingual,0.9400000000000001,0.5,unknown,Varies,enterprise data,https://www.dataiku.com/,unknown
253.0,codiumai,codiumai,code,"test generation, code analysis, bug detection",code,code (tests),An AI-powered tool that analyzes code and generates meaningful tests to catch bugs before deployment.,free,3.0,plugin,multilingual,0.9800000000000001,0.5,90%,Fast,"code, test suites",https://www.codium.ai/,unknown
254.0,mage,mage,data,"low-code ai tools, predictive modeling",dataset,predictions,A low-code AI platform for product developers to build and integrate predictive models into apps.,unknown,3.0,"api, sdk","python, sql",0.9,0.5,90%,Medium,product & user data,https://www.mage.ai/,unknown
255.0,arria,arria nlg,text,"natural language generation (nlg), report automation",data (structured),text (narrative),A Natural Language Generation platform that transforms structured data into written or spoken narrative.,unknown,4.0,"api, sdk",multilingual,0.8800000000000001,0.5,98%,Fast,"financial, bi data",https://www.arria.com/,unknown
256.0,lightning ai,lightning ai,data,"model training, mlops, ai app development",code (pytorch),"trained model, app",A platform (built on PyTorch Lightning) for building and training production-ready AI models and apps.,free,3.0,"api, sdk, cli",python,0.96,0.5,unknown,Varies,deep learning models,https://lightning.ai/,unknown
257.0,airbyte,airbyte,data,"data integration, elt, data pipeline","api, database",data,An open-source data integration platform for building ELT pipelines to consolidate data.,open-source,3.0,"api, cli, web",python,0.9400000000000001,0.5,99%,Varies,data engineering,https://airbyte.com/,unknown
258.0,fivetran,fivetran,data,"data integration, elt, data replication","saas apis, dbs",data (warehouse),An automated data movement platform that centralizes data from various sources into a warehouse.,unknown,4.0,"web, api",nan,0.9199999999999999,0.5,99.90%,Fast,data connectors,https://www.fivetran.com/,unknown
259.0,dbt (data build tool),dbt labs,data,"data transformation, data modeling, analytics","sql, data",data (transformed),A data transformation tool that enables data analysts and engineers to transform data in their warehouse.,free,3.0,"cli, cloud",sql,0.9800000000000001,0.5,unknown,Fast,data warehousing,https://www.getdbt.com/,unknown
260.0,knime,knime,data,"data analytics, visual workflow, etl",dataset,"analytics, reports",An open-source platform for creating data science applications and services with a visual workflow editor.,open-source,2.0,desktop app,nan,0.9199999999999999,0.5,unknown,Medium,data science,https://www.knime.com/,unknown
261.0,alteryx,alteryx,data,"data analytics, data blending, process automation",dataset,"analytics, reports","An analytics automation platform for data preparation, blending, and advanced analytics.",unknown,4.0,desktop app,nan,0.9199999999999999,0.5,unknown,Medium,business analytics,https://www.alteryx.com/,unknown
262.0,thoughtspot,thoughtspot,data,"business intelligence, search-based analytics",data,"charts, insights",An AI-powered analytics platform that allows users to get insights from data using natural language search.,unknown,4.0,"web, api",english,0.9,0.5,90%,Fast,business intelligence,https://www.thoughtspot.com/,unknown
263.0,domino data lab,domino data lab,data,"mlops, model management, data science platform","code, data","models, results",An enterprise MLOps platform for centralizing data science work and infrastructure.,unknown,4.0,"web, api, sdk","python, r",0.9,0.5,unknown,Varies,enterprise data science,https://www.dominodatalab.com/,unknown
264.0,c3 ai,c3 ai,data,"enterprise ai, predictive analytics, ai applications",enterprise data,"predictions, apps","An enterprise AI platform for developing, deploying, and operating large-scale AI applications.",unknown,4.0,"web, api",nan,0.86,0.5,unknown,Varies,"industrial, enterprise data",https://c3.ai/,unknown
265.0,bigquery ml,google cloud,data,"in-database ml, predictive modeling","sql, data",ml model,A feature of Google BigQuery that allows users to create and execute ML models using SQL queries.,unknown,3.0,api (sql),sql,0.9400000000000001,0.5,unknown,Medium,bigquery data,https://cloud.google.com/bigquery-ml,unknown
266.0,amazon sagemaker,aws,data,"end-to-end ml, model training, mlops","data, code",ml model,"A fully managed service for building, training, and deploying machine learning models at scale.",unknown,3.0,"api, sdk, web",4.6,0.9199999999999999,0.5,Varies,General Machine Learning,https://aws.amazon.com/sagemaker/,unknown,unknown
267.0,jenkins,cloudbees,automation,"ci/cd, build automation, deployment",code,software build,"An open-source automation server for building, testing, and deploying software (CI/CD).",open-source,3.0,"web, plugin",nan,0.9,0.5,unknown,Varies,software development,https://www.jenkins.io/,unknown
268.0,terraform,hashicorp,automation,"infrastructure as code (iac), provisioning",code (hcl),cloud infrastructure,"An IaC tool for building, changing, and versioning infrastructure safely and efficiently.",open-source,3.0,cli,hcl,0.96,0.5,unknown,Varies,cloud infrastructure,https://www.terraform.io/,unknown
269.0,ansible,red hat,automation,"configuration management, app deployment",code (yaml),system configuration,"An open-source automation tool for configuration management, application deployment, and task automation.",open-source,3.0,cli,yaml,0.9199999999999999,0.5,unknown,Varies,it infrastructure,https://www.ansible.com/,unknown
270.0,puppet,puppet,automation,"configuration management, compliance",code (puppet dsl),system configuration,An automation tool for managing and automating infrastructure and application delivery.,free,3.0,"cli, web",puppet dsl,0.8800000000000001,0.5,unknown,Varies,it infrastructure,https://www.puppet.com/,unknown
271.0,chef,progress,automation,"infrastructure automation, compliance",code (ruby),system configuration,An automation platform for transforming infrastructure into code for speed and consistency.,free,3.0,"cli, web",ruby,0.8800000000000001,0.5,unknown,Varies,it infrastructure,https://www.chef.io/,unknown
272.0,airflow,apache,automation,"workflow orchestration, data pipeline scheduling",code (python),scheduled tasks,"An open-source platform to programmatically author, schedule, and monitor workflows.",open-source,3.0,"cli, web",python,0.9400000000000001,0.5,unknown,Varies,data engineering,https://airflow.apache.org/,unknown
273.0,workato,workato,automation,"ipaas, workflow automation, api integration","events, data",automated workflows,An enterprise automation platform for integrating apps and automating business workflows.,unknown,4.0,"web, api",nan,0.9400000000000001,0.5,unknown,Fast,business processes,https://www.workato.com/,unknown
274.0,celigo,celigo,automation,"ipaas, e-commerce automation, api integration","events, data",automated workflows,An integration platform (iPaaS) for automating business processes across applications.,unknown,4.0,"web, api",nan,0.9199999999999999,0.5,unknown,Fast,"e-commerce, business ops",https://www.celigo.com/,unknown
275.0,make (integromat),celonis,automation,"no-code automation, workflow building","events, data",automated workflows,"A visual platform that lets you design, build, and automate anything from tasks to workflows.",free,1.0,"web, api",nan,0.96,0.5,unknown,Fast,web applications,https://www.make.com/,unknown
276.0,n8n,n8n,automation,"fair-code automation, workflow orchestration","events, data",automated workflows,A free and open fair-code licensed workflow automation tool for developers and tech-savvy users.,free,2.0,"web, desktop app",nan,0.9800000000000001,0.5,unknown,Fast,web applications,https://n8n.io/,unknown
277.0,playwright,microsoft,code,"browser automation, end-to-end testing",code,test results,An open-source framework for reliable end-to-end testing and browser automation.,open-source,3.0,library,"js, python, java, .net",0.9800000000000001,0.5,unknown,Fast,web browsers,https://playwright.dev/,unknown
278.0,cypress,cypress,code,"end-to-end testing, web app testing",code (javascript),test results,A JavaScript-based end-to-end testing framework for modern web applications.,free,3.0,"desktop app, cli",javascript,0.96,0.5,unknown,Fast,web applications,https://www.cypress.io/,unknown
279.0,selenium,software freedom conservancy,code,"browser automation, web scraping",code,browser actions,An open-source framework for automating web browsers for testing and web scraping purposes.,open-source,3.0,library,multilingual,0.9,0.5,unknown,Medium,web browsers,https://www.selenium.dev/,unknown
280.0,appium,openjs foundation,code,"mobile app testing, automation",code,test results,"An open-source tool for automating native, mobile web, and hybrid applications on iOS and Android.",open-source,3.0,"cli, library",multilingual,0.9199999999999999,0.5,unknown,Medium,mobile apps,https://appium.io/,unknown
281.0,postman,postman,code,"api testing, api development, documentation",api requests,api responses,"A collaboration platform for API development and testing, simplifying each step of the API lifecycle.",free,3.0,"desktop app, web",nan,0.9400000000000001,0.5,unknown,Fast,apis,https://www.postman.com/,unknown
282.0,insomnia,kong,code,"api design, api testing, debugging",api requests,api responses,"An open-source API design and testing tool for GraphQL, REST, and gRPC.",free,3.0,desktop app,nan,0.9199999999999999,0.5,unknown,Fast,apis,https://insomnia.rest/,unknown
283.0,jira,atlassian,automation,"project management, issue tracking, agile",user input,"tasks, reports","A project management tool for agile teams to plan, track, and release software.",unknown,2.0,"web, mobile app",nan,0.8800000000000001,0.5,unknown,unknown,software development,https://www.atlassian.com/software/jira,unknown
284.0,trello,atlassian,automation,"project management, task organization, kanban",user input,"cards, boards",A visual collaboration tool that provides a Kanban-style board for managing projects and tasks.,free,1.0,"web, mobile app",nan,0.9,0.5,unknown,unknown,general project management,https://trello.com/,unknown
285.0,figma,adobe,image,"ui/ux design, prototyping, collaboration",user input,"designs, prototypes","A collaborative interface design tool for creating websites, apps, and other digital products.",free,2.0,"web, desktop app",nan,0.9400000000000001,0.5,unknown,unknown,ui/ux design,https://www.figma.com/,unknown
286.0,sketch,sketch,image,"ui/ux design, vector editing, prototyping",user input,"designs, prototypes","A vector graphics editor for macOS, primarily used for user interface and user experience design.",unknown,2.0,desktop app (macos),nan,0.9,0.5,unknown,unknown,ui/ux design,https://www.sketch.com/,unknown
287.0,invision,invision,image,"prototyping, design collaboration, whiteboarding",designs,interactive prototypes,A digital product design platform for creating interactive prototypes and collaborating on designs.,free,2.0,"web, plugin",nan,0.8800000000000001,0.5,unknown,unknown,prototyping,https://www.invisionapp.com/,unknown
288.0,zeplin,zeplin,code,"design handoff, collaboration, style guides",designs,"code snippets, specs",A collaboration tool for designers and developers to hand off designs and generate style guides.,free,2.0,"web, desktop app",nan,0.9199999999999999,0.5,unknown,unknown,design to dev handoff,https://zeplin.io/,unknown
289.0,webflow,webflow,code,"no-code web design, cms, hosting",user input,website,"A no-code platform for designing, building, and launching responsive websites visually.",free,2.0,web,nan,0.9,0.5,unknown,unknown,web design,https://webflow.com/,unknown
